# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,699333730,0.8125,0.5742,-0.0664,7.93,37.62,16.52
1,699338732,0.7988,0.5762,-0.0557,3.29,36.59,16.77
2,699343730,0.7798,0.5737,-0.0508,-0.85,35.73,17.07
3,699348730,0.7798,0.5737,-0.0542,-3.96,34.70,17.50
4,699353733,0.7925,0.5732,-0.0537,-6.16,33.84,17.87
5,699358730,0.8042,0.5732,-0.0498,-7.32,33.05,18.35
6,699363730,0.8086,0.5728,-0.0522,-7.56,32.38,18.84
7,699368732,0.8086,0.5762,-0.0552,-7.13,31.89,19.27
8,699373732,0.7998,0.5762,-0.0562,-6.10,31.52,19.76
9,699378733,0.7993,0.5811,-0.0586,-4.70,30.91,20.30
10,699383732,0.8066,0.5781,-0.0532,-2.80,30.43,20.85
11,699388733,0.8071,0.5723,-0.0547,-0.73,30.06,21.46
12,699393730,0.8208,0.5718,-0.0493,1.52,29.70,22.26
13,699398730,0.8223,0.5708,-0.0454,3.96,29.15,22.93
14,699403730,0.8228,0.5723,-0.0410,6.52,28.54,23.72
15,699408730,0.8228,0.5728,-0.0303,8.90,27.93,24.39
16,699413730,0.8232,0.5684,-0.0288,11.46,27.32,25.06
17,699418730,0.8301,0.5605,-0.0361,13.72,26.71,25.85
18,699423730,0.8428,0.5630,-0.0303,15.79,25.85,26.52
19,699428730,0.8467,0.5581,-0.0249,17.50,25.12,27.26
20,699433731,0.8481,0.5640,-0.0273,18.78,24.27,27.80
21,699438767,0.8501,0.5698,-0.0229,19.76,23.48,28.17
22,699443732,0.8628,0.5684,-0.0259,20.37,22.93,28.66
23,699448774,0.8516,0.5630,-0.0229,20.37,22.38,29.21
24,699453734,0.8477,0.5664,-0.0220,20.00,22.01,29.94
25,699458730,0.8423,0.5732,-0.0161,19.63,21.40,30.79
26,699463732,0.8276,0.5791,-0.0205,18.66,21.04,31.52
27,699468732,0.8311,0.5742,-0.0215,18.05,20.73,32.38
28,699473730,0.8301,0.5654,-0.0161,17.38,20.49,33.35
29,699478730,0.8394,0.5698,-0.0200,17.07,19.94,34.33
30,699483730,0.8394,0.5674,-0.0146,17.44,19.51,35.30
31,699488735,0.8433,0.5601,-0.0112,18.05,19.02,36.16
32,699493730,0.8501,0.5513,-0.0088,18.96,18.72,36.95
33,699498730,0.8516,0.5449,-0.0088,19.94,18.23,37.68
34,699503733,0.8540,0.5400,-0.0039,20.85,17.80,38.35
35,699508732,0.8618,0.5361,-0.0122,21.83,17.44,39.09
36,699513733,0.8638,0.5317,-0.0093,22.38,17.01,39.63
37,699518730,0.8730,0.5259,-0.0039,22.50,16.59,40.18
38,699523732,0.8711,0.5195,-0.0005,22.20,16.10,40.73
39,699528732,0.8628,0.5132,0.0005,21.71,15.67,41.34
40,699533730,0.8535,0.5137,-0.0073,20.61,15.30,41.89
41,699538733,0.8398,0.5146,-0.0063,19.21,15.06,42.50
42,699543732,0.8286,0.5181,-0.0098,17.38,14.39,43.17
43,699548730,0.8115,0.5112,-0.0161,15.49,13.90,43.84
44,699553730,0.8008,0.5034,-0.0093,13.84,13.60,44.51
45,699558734,0.8027,0.5005,-0.0137,12.50,13.35,45.37
46,699563730,0.7988,0.4897,-0.0093,11.89,12.93,46.10
47,699568732,0.8027,0.4805,-0.0093,11.59,12.74,46.83
48,699573732,0.8174,0.4707,-0.0049,11.65,12.56,47.50
49,699578730,0.8179,0.4668,-0.0107,11.95,12.50,47.99
50,699583734,0.8301,0.4585,-0.0083,12.62,12.38,48.54
51,699588731,0.8296,0.4453,-0.0059,12.93,12.50,48.84
52,699593734,0.8276,0.4370,-0.0161,12.99,12.62,49.15
53,699598730,0.8330,0.4346,-0.0039,12.68,12.74,49.45
54,699603730,0.8433,0.4341,-0.0024,11.77,12.93,49.57
55,699608730,0.8438,0.4302,-0.0044,10.06,13.29,49.63
56,699613732,0.8413,0.4336,-0.0024,7.68,13.84,49.70
57,699618732,0.8271,0.4365,-0.0024,4.39,14.27,49.70
58,699623732,0.7993,0.4351,-0.0112,0.67,14.76,49.63
59,699628732,0.7769,0.4355,-0.0049,-3.17,15.24,49.63
60,699633730,0.7949,0.4429,-0.0117,-7.01,15.85,49.57
61,699638734,0.8311,0.4336,-0.0117,-10.18,16.28,49.57
62,699643730,0.8418,0.4106,-0.0098,-12.62,16.71,49.45
63,699648730,0.8330,0.3979,-0.0107,-14.21,17.38,49.57
64,699653730,0.8228,0.3960,0.0010,-15.43,17.80,49.45
65,699658734,0.8247,0.3906,-0.0020,-16.16,18.29,49.51
66,699663730,0.8374,0.3770,-0.0034,-16.22,18.78,49.15
67,699668730,0.8457,0.3633,0.0068,-15.73,19.15,48.90
68,699673730,0.8657,0.3540,0.0073,-14.94,19.21,48.78
69,699678730,0.8877,0.3472,0.0181,-13.96,19.70,48.35
70,699683730,0.9131,0.3428,0.0107,-13.05,19.94,47.74
71,699688730,0.9219,0.3350,0.0142,-12.56,20.12,47.44
72,699693730,0.9233,0.3369,0.0112,-12.68,20.12,47.01
73,699698730,0.9199,0.3442,0.0020,-13.54,20.18,46.52
74,699703730,0.9199,0.3384,0.0059,-15.24,20.24,46.16
75,699708730,0.9062,0.3379,0.0029,-17.80,20.06,45.79
76,699713730,0.8965,0.3423,-0.0039,-20.98,19.82,45.61
77,699718731,0.8774,0.3452,-0.0059,-24.76,19.51,45.30
78,699723732,0.8691,0.3521,-0.0039,-28.72,19.15,44.88
79,699728732,0.8784,0.3530,-0.0088,-32.38,18.66,44.39
80,699733730,0.9097,0.3447,-0.0063,-34.88,18.11,43.96
81,699738730,0.9082,0.3350,-0.0029,-36.34,17.38,43.66
82,699743735,0.9028,0.3271,0.0137,-36.40,17.01,43.54
83,699748770,0.8911,0.3149,0.0073,-35.73,16.40,43.23
84,699753733,0.8838,0.3013,0.0322,-34.33,15.85,42.99
85,699758849,0.8887,0.2832,0.0269,-32.50,15.55,42.68
86,699763732,0.9053,0.2764,0.0293,-30.24,15.06,42.26
87,699768730,0.9194,0.2622,0.0259,-28.05,14.70,41.83
88,699773796,0.9170,0.2563,0.0298,-25.43,14.15,41.10
89,699778730,0.9180,0.2505,0.0273,-22.93,13.78,40.61
90,699783730,0.9097,0.2422,0.0361,-20.55,13.11,40.00
91,699788730,0.9058,0.2373,0.0317,-18.29,12.80,39.45
92,699793734,0.9048,0.2329,0.0356,-16.34,12.13,38.78
93,699798732,0.9141,0.2236,0.0381,-14.63,11.71,38.17
94,699803730,0.9072,0.2236,0.0361,-13.35,11.10,37.38
95,699808731,0.9053,0.2246,0.0337,-12.38,10.24,36.59
96,699813734,0.9038,0.2188,0.0386,-11.46,9.45,35.73
97,699818730,0.8940,0.2139,0.0493,-10.43,8.54,34.88
98,699823757,0.8877,0.2036,0.0571,-8.96,7.68,34.09
99,699828732,0.8892,0.1997,0.0610,-7.38,6.89,33.29
100,699833732,0.8833,0.1880,0.0723,-5.55,6.22,32.44
101,699838732,0.8887,0.1841,0.0649,-3.66,5.37,31.71
102,699843732,0.9004,0.1792,0.0723,-1.59,4.63,30.79
103,699848732,0.9038,0.1660,0.0708,0.24,4.15,29.94
104,699853730,0.9062,0.1567,0.0762,2.20,3.48,28.96
105,699858731,0.8979,0.1519,0.0781,3.66,2.80,28.05
106,699863733,0.9009,0.1504,0.0762,4.94,1.95,26.95
107,699868808,0.9038,0.1465,0.0771,5.73,1.46,26.22
108,699873731,0.9028,0.1460,0.0786,6.04,0.73,25.24
109,699878730,0.8931,0.1440,0.0762,5.91,0.12,24.33
110,699883730,0.8867,0.1436,0.0747,5.18,-0.61,23.35
111,699888730,0.8809,0.1426,0.0703,4.15,-1.22,22.50
112,699893733,0.8745,0.1445,0.0742,2.99,-1.71,21.65
113,699898730,0.8813,0.1470,0.0713,1.59,-2.44,20.73
114,699903732,0.8843,0.1455,0.0693,0.30,-2.99,19.88
115,699908730,0.8906,0.1455,0.0747,-0.85,-3.54,18.96
116,699913730,0.8813,0.1445,0.0728,-1.52,-3.84,17.99
117,699918735,0.8804,0.1465,0.0732,-1.95,-4.02,17.13
118,699924093,0.8789,0.1460,0.0747,-1.89,-4.70,16.04
119,699928970,0.8828,0.1450,0.0718,-1.59,-4.88,15.49
120,699933731,0.9014,0.1450,0.0688,-1.04,-5.18,14.76
121,699938732,0.9033,0.1431,0.0645,-0.12,-5.43,13.90
122,699944171,0.9082,0.1440,0.0566,0.85,-5.37,12.93
123,699948732,0.9185,0.1514,0.0581,1.46,-5.49,12.38
124,699953730,0.9204,0.1562,0.0522,2.01,-5.55,11.40
125,699958730,0.9185,0.1592,0.0464,2.26,-5.61,10.55
126,699963734,0.9209,0.1641,0.0425,2.07,-5.73,9.88
127,699968730,0.9204,0.1704,0.0327,1.77,-5.91,9.33
128,699973732,0.9111,0.1714,0.0269,1.04,-6.10,8.54
129,699978732,0.9019,0.1680,0.0239,0.18,-6.22,8.05
130,699983732,0.8926,0.1616,0.0156,-0.67,-5.79,7.50
131,699988732,0.9009,0.1519,0.0049,-1.71,-5.79,7.26
132,699993732,0.9077,0.1455,-0.0078,-2.62,-5.67,6.95
133,699998732,0.9180,0.1523,-0.0063,-3.66,-5.55,6.65
134,700003733,0.9219,0.1567,-0.0117,-4.39,-5.37,6.16
135,700008731,0.9180,0.1519,-0.0186,-5.00,-5.18,5.67
136,700013730,0.9165,0.1533,-0.0264,-5.67,-5.00,5.24
137,700018730,0.9009,0.1479,-0.0283,-6.04,-4.76,4.88
138,700023731,0.8921,0.1445,-0.0278,-6.52,-4.57,4.63
139,700028745,0.8730,0.1519,-0.0259,-6.65,-4.39,4.27
140,700033732,0.8589,0.1489,-0.0273,-6.46,-3.90,4.02
141,700038732,0.8594,0.1421,-0.0200,-5.67,-3.41,3.90
142,700043730,0.8696,0.1304,-0.0215,-4.33,-3.05,3.60
143,700048731,0.8857,0.1328,-0.0254,-2.62,-2.56,3.35
144,700053822,0.8896,0.1294,-0.0288,-0.85,-1.83,2.93
145,700058730,0.9019,0.1304,-0.0332,1.16,-1.52,2.32
146,700063731,0.9253,0.1338,-0.0503,3.23,-1.10,1.52
147,700068732,0.9492,0.1387,-0.0483,5.24,-0.49,0.73
148,700073732,0.9595,0.1343,-0.0464,7.20,0.18,-0.24
149,700078732,0.9688,0.1431,-0.0547,8.41,0.85,-0.98
150,700083732,0.9839,0.1538,-0.0679,9.33,1.28,-1.89
151,700088732,0.9946,0.1567,-0.0693,9.70,2.07,-2.68
152,700093732,1.0029,0.1611,-0.0620,9.82,2.68,-3.60
153,700098732,1.0186,0.1802,-0.0610,9.94,3.41,-4.39
154,700103732,1.0312,0.2085,-0.0630,9.94,3.84,-5.24
155,700108732,1.0410,0.2129,-0.0527,10.18,4.39,-6.10
156,700113730,1.0435,0.2202,-0.0503,10.67,4.94,-6.89
157,700118775,1.0332,0.2324,-0.0386,12.20,5.79,-7.44
158,700123737,1.0293,0.2417,-0.0278,14.09,6.34,-7.62
159,700129244,1.0474,0.2676,-0.0186,16.28,6.83,-7.87
160,700133732,1.0576,0.2856,-0.0186,18.41,7.62,-7.99
